"","...1","sex","sat_verbal","sat_math","sat_total","gpa_hs","gpa_fy"
"502",502,"Male",35,53,88,"high",2.24
"503",503,"Female",47,46,93,"high",2.71
"504",504,"Male",52,64,116,"high",3.98
"505",505,"Male",36,48,84,"low",2.2
"506",506,"Female",38,47,85,"low",2.88
"507",507,"Male",54,57,111,"high",3
"508",508,"Female",41,44,85,"high",1.55
"509",509,"Male",45,58,103,"high",2
"510",510,"Male",24,29,53,"low",2.19
"511",511,"Female",59,62,121,"high",3.86
"512",512,"Male",45,55,100,"low",1.47
"513",513,"Female",59,62,121,"high",3.94
"514",514,"Male",37,58,95,"low",1.37
"515",515,"Male",44,59,103,"high",3.08
"516",516,"Male",54,64,118,"high",1.95
"517",517,"Female",59,62,121,"high",3.52
"518",518,"Male",48,55,103,"low",1.74
"519",519,"Female",44,59,103,"low",3.17
"520",520,"Female",61,56,117,"high",2.67
"521",521,"Male",49,55,104,"low",2.14
"522",522,"Male",53,52,105,"low",2.54
"523",523,"Female",55,49,104,"low",1.98
"524",524,"Female",46,45,91,"low",2.04
"525",525,"Male",49,57,106,"low",1.7
"526",526,"Male",53,62,115,"high",1.8
"527",527,"Male",70,74,144,"high",4
"528",528,"Female",48,52,100,"high",4
"529",529,"Female",36,41,77,"low",0.61
"530",530,"Female",49,57,106,"high",3.34
"531",531,"Female",48,56,104,"high",2.92
"532",532,"Male",53,62,115,"high",3.62
"533",533,"Male",66,67,133,"low",3.07
"534",534,"Female",41,57,98,"high",3
"535",535,"Male",42,62,104,"low",2.43
"536",536,"Female",38,45,83,"high",3.11
"537",537,"Male",43,57,100,"low",1.5
"538",538,"Female",49,54,103,"high",2.58
"539",539,"Female",53,40,93,"high",2.24
"540",540,"Male",40,55,95,"low",1.96
"541",541,"Male",45,56,101,"low",2.23
"542",542,"Female",53,51,104,"low",2.24
"543",543,"Male",43,57,100,"low",2.76
"544",544,"Female",49,52,101,"low",2.59
"545",545,"Male",41,52,93,"low",1.68
"546",546,"Female",38,47,85,"low",2.92
"547",547,"Male",55,56,111,"low",2.31
"548",548,"Male",41,57,98,"high",2.56
"549",549,"Female",39,55,94,"high",2.73
"550",550,"Female",63,49,112,"high",3.11
"551",551,"Female",43,44,87,"low",1.83
"552",552,"Male",47,47,94,"low",2.88
"553",553,"Male",39,57,96,"low",3.14
"554",554,"Male",46,51,97,"low",1.87
"555",555,"Female",45,52,97,"low",2.27
"556",556,"Female",51,55,106,"high",2.56
"557",557,"Male",40,44,84,"low",2.35
"558",558,"Female",42,55,97,"high",3.02
"559",559,"Male",50,60,110,"high",2.44
"560",560,"Male",50,58,108,"high",1.33
"561",561,"Male",56,52,108,"high",1.13
"562",562,"Male",54,52,106,"high",3.4
"563",563,"Female",48,36,84,"low",1.96
"564",564,"Male",53,49,102,"high",1.96
"565",565,"Male",48,58,106,"high",3.17
"566",566,"Female",45,58,103,"low",1.6
"567",567,"Female",50,52,102,"low",2.37
"568",568,"Male",52,53,105,"high",1.43
"569",569,"Female",62,48,110,"low",2.74
"570",570,"Male",46,48,94,"low",1.95
"571",571,"Male",42,50,92,"low",2.42
"572",572,"Female",48,52,100,"high",3.04
"573",573,"Male",51,59,110,"low",3
"574",574,"Female",50,42,92,"high",3.73
"575",575,"Female",55,48,103,"low",3.17
"576",576,"Male",56,63,119,"low",1.57
"577",577,"Male",52,60,112,"low",1.71
"578",578,"Male",51,57,108,"low",2.09
"579",579,"Female",41,49,90,"low",3.4
"580",580,"Male",33,38,71,"high",2.1
"581",581,"Female",47,43,90,"low",1.66
"582",582,"Female",54,49,103,"high",3.16
"583",583,"Male",55,56,111,"high",2.09
"584",584,"Female",49,57,106,"high",3.6
"585",585,"Male",45,57,102,"low",0.85
"586",586,"Male",57,59,116,"high",1.88
"587",587,"Male",45,54,99,"high",2.53
"588",588,"Male",60,60,120,"high",1.82
"589",589,"Male",41,52,93,"low",1.33
"590",590,"Female",47,51,98,"low",2.81
"591",591,"Male",44,43,87,"low",1.49
"592",592,"Female",49,55,104,"high",2.51
"593",593,"Female",68,51,119,"low",1.61
"594",594,"Female",39,41,80,"low",1.65
"595",595,"Female",33,37,70,"low",1.7
"596",596,"Female",50,54,104,"high",3.13
"597",597,"Female",46,58,104,"high",2.6
"598",598,"Female",35,40,75,"high",1.87
"599",599,"Male",26,50,76,"low",2.24
"600",600,"Female",36,55,91,"low",1.6
"601",601,"Female",51,54,105,"high",2.98
"602",602,"Female",47,51,98,"high",3.6
"603",603,"Male",47,50,97,"low",1.43
"604",604,"Male",44,62,106,"high",3.02
"605",605,"Male",50,50,100,"low",3.15
"606",606,"Male",34,52,86,"high",2
"607",607,"Female",33,46,79,"low",1.57
"608",608,"Female",38,34,72,"low",1.78
"609",609,"Female",46,59,105,"high",2.77
"610",610,"Male",42,56,98,"high",3.25
"611",611,"Male",59,55,114,"high",3.3
"612",612,"Male",42,37,79,"high",1.13
"613",613,"Female",50,53,103,"high",3.17
"614",614,"Female",41,55,96,"high",2.04
"615",615,"Female",42,53,95,"low",1.69
"616",616,"Male",41,65,106,"low",1.8
"617",617,"Female",52,62,114,"high",2.29
"618",618,"Male",62,67,129,"high",3.41
"619",619,"Female",36,38,74,"high",2
"620",620,"Female",47,56,103,"high",3.11
"621",621,"Male",38,58,96,"low",2.38
"622",622,"Male",45,63,108,"high",2.62
"623",623,"Female",63,63,126,"high",3.71
"624",624,"Male",44,50,94,"high",3.27
"625",625,"Male",42,61,103,"low",2.4
"626",626,"Male",51,63,114,"low",3.25
"627",627,"Male",57,59,116,"high",1.98
"628",628,"Male",49,61,110,"high",3.04
"629",629,"Male",37,64,101,"high",2.8
"630",630,"Male",62,71,133,"high",4
"631",631,"Male",47,59,106,"low",1.78
"632",632,"Male",55,65,120,"low",2.54
"633",633,"Female",43,42,85,"low",1.92
"634",634,"Male",56,74,130,"high",3.48
"635",635,"Female",52,48,100,"low",1.62
"636",636,"Male",47,60,107,"high",2.56
"637",637,"Female",51,50,101,"high",3.35
"638",638,"Male",41,66,107,"low",2
"639",639,"Female",43,42,85,"low",1.97
"640",640,"Male",58,51,109,"low",3.21
"641",641,"Male",47,37,84,"low",0.67
"642",642,"Male",41,57,98,"high",2.38
"643",643,"Male",42,50,92,"low",1.86
"644",644,"Female",50,43,93,"low",2.53
"645",645,"Male",55,55,110,"high",1.44
"646",646,"Male",45,59,104,"high",2.19
"647",647,"Female",35,42,77,"low",1.44
"648",648,"Male",43,50,93,"high",2.36
"649",649,"Male",48,44,92,"low",2.21
"650",650,"Female",40,57,97,"low",2.6
"651",651,"Male",44,58,102,"high",0.36
"652",652,"Male",47,61,108,"high",2.47
"653",653,"Female",43,47,90,"high",2.16
"654",654,"Female",39,53,92,"low",1.63
"655",655,"Male",47,57,104,"low",1.83
"656",656,"Female",34,69,103,"low",2.66
"657",657,"Female",49,48,97,"high",3.04
"658",658,"Female",47,45,92,"low",2.54
"659",659,"Female",43,53,96,"low",2.02
"660",660,"Male",61,49,110,"low",1.49
"661",661,"Male",48,55,103,"high",1.13
"662",662,"Female",37,46,83,"low",2.02
"663",663,"Female",51,50,101,"high",2.9
"664",664,"Female",35,60,95,"low",1.81
"665",665,"Female",47,67,114,"high",4
"666",666,"Male",41,37,78,"low",2
"667",667,"Female",43,42,85,"low",2.54
"668",668,"Female",49,48,97,"high",2.65
"669",669,"Male",58,77,135,"high",3.43
"670",670,"Female",47,45,92,"high",2.91
"671",671,"Male",47,53,100,"high",3.21
"672",672,"Male",37,52,89,"low",1.75
"673",673,"Male",36,36,72,"low",3.12
"674",674,"Female",56,58,114,"low",2.09
"675",675,"Female",47,58,105,"high",2.11
"676",676,"Male",56,50,106,"high",2.56
"677",677,"Female",43,54,97,"low",2.56
"678",678,"Female",45,48,93,"low",1.24
"679",679,"Male",55,60,115,"low",2.8
"680",680,"Male",55,35,90,"low",2.17
"681",681,"Female",46,47,93,"high",2.42
"682",682,"Female",39,51,90,"high",3.56
"683",683,"Female",50,58,108,"high",3.24
"684",684,"Female",45,57,102,"high",3.42
"685",685,"Male",52,66,118,"high",2.53
"686",686,"Female",47,47,94,"low",2.38
"687",687,"Male",48,47,95,"low",2.24
"688",688,"Male",35,53,88,"low",2.12
"689",689,"Female",46,58,104,"low",2.63
"690",690,"Female",54,47,101,"low",1.98
"691",691,"Female",50,50,100,"low",1.69
"692",692,"Male",58,59,117,"high",2.47
"693",693,"Male",49,60,109,"high",2.34
"694",694,"Female",43,47,90,"low",2.58
"695",695,"Male",42,52,94,"low",2
"696",696,"Male",46,51,97,"low",1.63
"697",697,"Female",52,55,107,"high",3.37
"698",698,"Male",45,46,91,"low",1.64
"699",699,"Male",62,60,122,"high",2.88
"700",700,"Female",58,62,120,"high",3.12
"701",701,"Female",57,55,112,"high",2.33
"702",702,"Female",60,59,119,"low",2.45
"703",703,"Male",43,51,94,"low",2.22
"704",704,"Male",51,65,116,"high",2.17
"705",705,"Male",37,55,92,"low",2.44
"706",706,"Male",49,48,97,"low",2.98
"707",707,"Female",44,54,98,"low",2.29
"708",708,"Female",44,52,96,"high",2.56
"709",709,"Female",27,38,65,"low",1.8
"710",710,"Male",48,55,103,"low",2.43
"711",711,"Male",41,59,100,"high",2.61
"712",712,"Female",35,58,93,"low",3.09
"713",713,"Male",46,54,100,"low",2.53
"714",714,"Male",52,64,116,"low",2.48
"715",715,"Male",61,60,121,"high",3.94
"716",716,"Male",48,64,112,"high",2.86
"717",717,"Female",58,58,116,"low",2.31
"718",718,"Male",44,40,84,"low",2.18
"719",719,"Male",49,57,106,"high",3.07
"720",720,"Male",40,45,85,"low",1.64
"721",721,"Female",52,60,112,"low",2.7
"722",722,"Male",36,50,86,"high",2.08
"723",723,"Female",57,55,112,"high",3.51
"724",724,"Female",48,62,110,"high",3.63
"725",725,"Male",39,44,83,"low",1.63
"726",726,"Female",54,61,115,"high",3.76
"727",727,"Female",57,47,104,"low",2.96
"728",728,"Male",40,48,88,"high",2.83
"729",729,"Male",35,40,75,"low",1.36
"730",730,"Male",61,65,126,"high",2.91
"731",731,"Male",50,57,107,"low",2.65
"732",732,"Female",41,52,93,"low",2.56
"733",733,"Male",49,68,117,"low",1.89
"734",734,"Male",50,57,107,"low",2.04
"735",735,"Male",60,64,124,"high",2.67
"736",736,"Male",54,72,126,"high",3.29
"737",737,"Male",41,56,97,"low",1.74
"738",738,"Male",44,41,85,"low",2.98
"739",739,"Male",44,55,99,"low",2.28
"740",740,"Female",50,42,92,"low",1.21
"741",741,"Male",40,52,92,"low",1.24
"742",742,"Female",55,54,109,"high",3.47
"743",743,"Female",47,44,91,"low",2.37
"744",744,"Female",38,57,95,"high",3.49
"745",745,"Male",56,47,103,"low",1.41
"746",746,"Female",49,52,101,"high",2.04
"747",747,"Male",58,60,118,"high",3.49
"748",748,"Male",51,64,115,"low",1.7
"749",749,"Male",42,53,95,"low",1.19
"750",750,"Female",52,49,101,"high",3.63
"751",751,"Female",48,51,99,"high",2.98
"752",752,"Male",48,62,110,"high",2.35
"753",753,"Female",53,52,105,"high",2.38
"754",754,"Female",57,57,114,"high",2.38
"755",755,"Male",44,57,101,"low",2.4
"756",756,"Female",29,60,89,"low",1.92
"757",757,"Male",54,45,99,"high",2.86
"758",758,"Male",41,63,104,"high",2.9
"759",759,"Female",42,59,101,"high",3.44
"760",760,"Female",53,65,118,"low",1.88
"761",761,"Female",49,38,87,"low",2.52
"762",762,"Male",48,54,102,"high",1.17
"763",763,"Male",60,65,125,"low",3.16
"764",764,"Male",45,57,102,"high",1.64
"765",765,"Female",46,44,90,"low",2.17
"766",766,"Female",31,41,72,"low",1.62
"767",767,"Male",49,60,109,"low",2.37
"768",768,"Male",47,43,90,"low",3.19
"769",769,"Male",50,50,100,"low",2.29
"770",770,"Female",59,69,128,"high",3.41
"771",771,"Male",58,61,119,"high",3.24
"772",772,"Female",48,60,108,"high",2.64
"773",773,"Male",52,57,109,"high",3.35
"774",774,"Male",47,50,97,"low",1.87
"775",775,"Female",45,55,100,"low",1.5
"776",776,"Female",37,59,96,"high",2.98
"777",777,"Male",56,65,121,"low",2.95
"778",778,"Female",52,52,104,"low",2.2
"779",779,"Female",65,57,122,"high",3.11
"780",780,"Female",42,49,91,"high",3.12
"781",781,"Female",48,51,99,"high",2.69
"782",782,"Female",45,58,103,"high",2.91
"783",783,"Male",52,62,114,"low",2.67
"784",784,"Male",51,57,108,"low",2.49
"785",785,"Male",46,65,111,"low",2.98
"786",786,"Male",50,72,122,"low",3.06
"787",787,"Male",52,61,113,"low",2.18
"788",788,"Male",52,68,120,"high",3.5
"789",789,"Female",45,50,95,"low",2.1
"790",790,"Female",54,50,104,"high",3.8
"791",791,"Female",50,60,110,"high",1.8
"792",792,"Male",41,63,104,"high",2.14
"793",793,"Female",44,54,98,"high",3.4
"794",794,"Female",45,48,93,"low",2.66
"795",795,"Female",41,64,105,"high",2.36
"796",796,"Male",45,43,88,"low",1.98
"797",797,"Male",45,49,94,"low",1.62
"798",798,"Male",56,53,109,"low",2.03
"799",799,"Female",54,53,107,"low",1.84
"800",800,"Male",50,67,117,"low",2.02
"801",801,"Male",58,63,121,"high",3.15
"802",802,"Male",51,35,86,"low",1.54
"803",803,"Female",48,45,93,"low",2.6
"804",804,"Female",41,50,91,"high",2.58
"805",805,"Female",51,61,112,"high",3.11
"806",806,"Female",39,34,73,"low",1.19
"807",807,"Female",54,53,107,"high",2.23
"808",808,"Female",44,53,97,"low",1.78
"809",809,"Female",52,44,96,"low",2.24
"810",810,"Female",53,37,90,"high",2.29
"811",811,"Male",37,67,104,"low",2.38
"812",812,"Male",35,48,83,"low",0.95
"813",813,"Male",45,53,98,"low",2.05
"814",814,"Female",43,47,90,"low",2.49
"815",815,"Male",49,59,108,"high",1.12
"816",816,"Female",37,43,80,"low",1.31
"817",817,"Female",41,43,84,"high",2.38
"818",818,"Female",40,45,85,"low",2.74
"819",819,"Male",48,64,112,"low",4
"820",820,"Male",44,59,103,"high",2.66
"821",821,"Male",54,60,114,"high",2.96
"822",822,"Female",63,42,105,"low",1.88
"823",823,"Male",47,55,102,"low",1.4
"824",824,"Female",56,52,108,"high",3.31
"825",825,"Female",50,50,100,"high",3.3
"826",826,"Male",64,64,128,"high",3.21
"827",827,"Female",42,59,101,"high",3.22
"828",828,"Male",43,48,91,"low",2.28
"829",829,"Male",43,49,92,"low",2.52
"830",830,"Male",52,52,104,"high",2.62
"831",831,"Female",34,50,84,"low",2
"832",832,"Female",44,45,89,"high",2.02
"833",833,"Female",42,43,85,"low",2.24
"834",834,"Female",47,48,95,"high",3.12
"835",835,"Male",52,52,104,"low",2.28
"836",836,"Female",49,59,108,"low",2.13
"837",837,"Female",38,48,86,"low",1.55
"838",838,"Female",62,56,118,"high",2.4
"839",839,"Male",61,45,106,"low",1.59
"840",840,"Male",44,55,99,"low",2.94
"841",841,"Female",55,61,116,"low",2.29
"842",842,"Male",47,66,113,"high",2.98
"843",843,"Female",44,44,88,"low",3.66
"844",844,"Male",41,56,97,"low",0.38
"845",845,"Female",62,59,121,"high",2.65
"846",846,"Female",60,68,128,"high",1.95
"847",847,"Female",44,60,104,"low",3.06
"848",848,"Female",63,58,121,"high",3.87
"849",849,"Male",45,58,103,"low",2.64
"850",850,"Male",43,55,98,"low",2.54
"851",851,"Male",36,45,81,"low",2.42
"852",852,"Female",58,53,111,"high",3.44
"853",853,"Female",62,68,130,"high",3.91
"854",854,"Male",41,61,102,"high",2.46
"855",855,"Male",58,59,117,"high",2.79
"856",856,"Female",46,43,89,"low",1.79
"857",857,"Female",45,61,106,"high",3.22
"858",858,"Male",40,41,81,"low",0.57
"859",859,"Male",63,68,131,"high",3.48
"860",860,"Female",53,54,107,"high",2.13
"861",861,"Female",57,72,129,"high",3.18
"862",862,"Male",39,56,95,"high",3.81
"863",863,"Male",45,66,111,"low",2.49
"864",864,"Male",52,67,119,"low",1.87
"865",865,"Male",55,53,108,"high",2.63
"866",866,"Male",44,48,92,"low",1.91
"867",867,"Female",56,45,101,"high",3.1
"868",868,"Male",64,62,126,"high",3.12
"869",869,"Female",46,51,97,"low",2.19
"870",870,"Male",64,61,125,"high",3.21
"871",871,"Male",60,66,126,"low",3.4
"872",872,"Male",52,60,112,"low",2.37
"873",873,"Female",46,61,107,"high",2.67
"874",874,"Female",58,58,116,"high",3.59
"875",875,"Female",34,42,76,"low",1.93
"876",876,"Female",54,64,118,"high",3.17
"877",877,"Female",50,33,83,"low",2.04
"878",878,"Male",59,63,122,"low",1.96
"879",879,"Female",49,45,94,"high",2.07
"880",880,"Male",37,42,79,"low",2.35
"881",881,"Female",55,55,110,"high",3.06
"882",882,"Male",32,66,98,"low",2.48
"883",883,"Male",41,68,109,"high",2.58
"884",884,"Female",47,53,100,"low",2.15
"885",885,"Female",49,41,90,"low",2.42
"886",886,"Male",53,68,121,"low",2.09
"887",887,"Female",55,57,112,"low",2.27
"888",888,"Male",43,52,95,"low",2.31
"889",889,"Female",43,56,99,"low",2.24
"890",890,"Female",50,53,103,"high",1.92
"891",891,"Male",44,41,85,"low",1.73
"892",892,"Male",64,59,123,"low",3.38
"893",893,"Female",49,48,97,"high",3.02
"894",894,"Male",49,55,104,"low",2.29
"895",895,"Male",43,45,88,"low",1.33
"896",896,"Male",64,71,135,"high",2.83
"897",897,"Female",54,57,111,"high",3.34
"898",898,"Female",40,47,87,"low",1.51
"899",899,"Female",50,53,103,"low",1.16
"900",900,"Female",57,64,121,"high",1.94
"901",901,"Male",49,59,108,"high",1.74
"902",902,"Male",50,55,105,"low",2.17
"903",903,"Female",53,62,115,"high",2.28
"904",904,"Male",54,59,113,"high",2.75
"905",905,"Male",51,56,107,"low",2.8
"906",906,"Female",38,40,78,"high",2.53
"907",907,"Male",61,65,126,"high",2.43
"908",908,"Female",44,44,88,"low",1.84
"909",909,"Male",56,61,117,"high",2.05
"910",910,"Male",48,63,111,"low",2.48
"911",911,"Male",55,67,122,"high",2.75
"912",912,"Male",61,51,112,"low",3.24
"913",913,"Male",46,44,90,"high",2.69
"914",914,"Male",51,66,117,"low",2.21
"915",915,"Female",67,70,137,"high",3.49
"916",916,"Male",49,40,89,"low",2.24
"917",917,"Male",63,50,113,"low",2.85
"918",918,"Female",40,50,90,"low",1.62
"919",919,"Female",53,65,118,"high",3.03
"920",920,"Female",48,42,90,"high",3.1
"921",921,"Female",43,43,86,"low",1.59
"922",922,"Male",46,63,109,"low",2.21
"923",923,"Male",67,60,127,"high",2.43
"924",924,"Male",46,60,106,"high",2.46
"925",925,"Female",58,58,116,"high",2.96
"926",926,"Female",43,61,104,"low",2.2
"927",927,"Male",46,43,89,"low",2.31
"928",928,"Male",49,49,98,"high",2.35
"929",929,"Female",59,64,123,"low",2.57
"930",930,"Male",39,55,94,"low",3.04
"931",931,"Female",39,52,91,"low",2.14
"932",932,"Female",67,52,119,"high",2.27
"933",933,"Female",55,54,109,"low",1.83
"934",934,"Male",57,61,118,"low",2.75
"935",935,"Female",51,52,103,"low",1.87
"936",936,"Male",52,67,119,"high",3.22
"937",937,"Male",59,48,107,"low",3.1
"938",938,"Male",45,64,109,"low",2.29
"939",939,"Female",48,50,98,"low",2.1
"940",940,"Male",52,52,104,"high",2.96
"941",941,"Female",41,56,97,"low",0.47
"942",942,"Female",47,48,95,"high",2.88
"943",943,"Female",52,70,122,"high",3.83
"944",944,"Male",49,57,106,"high",1.6
"945",945,"Male",38,53,91,"low",2.23
"946",946,"Male",44,50,94,"low",3.07
"947",947,"Male",56,67,123,"high",2.6
"948",948,"Male",45,58,103,"low",1.15
"949",949,"Male",59,67,126,"high",2.88
"950",950,"Male",53,72,125,"high",3.71
"951",951,"Female",53,38,91,"high",3.41
"952",952,"Female",66,66,132,"high",3.65
"953",953,"Female",36,35,71,"low",1.65
"954",954,"Female",57,54,111,"high",2.15
"955",955,"Female",51,51,102,"high",2.57
"956",956,"Female",76,68,144,"high",3.66
"957",957,"Male",60,66,126,"high",3.31
"958",958,"Male",46,52,98,"low",2.84
"959",959,"Male",54,50,104,"low",1.83
"960",960,"Female",55,64,119,"high",3.35
"961",961,"Male",54,63,117,"high",1.35
"962",962,"Female",52,43,95,"high",3.1
"963",963,"Female",51,59,110,"high",3.1
"964",964,"Male",49,51,100,"low",2.19
"965",965,"Female",41,50,91,"low",3.35
"966",966,"Female",57,59,116,"high",3.91
"967",967,"Male",54,52,106,"low",1.83
"968",968,"Female",32,38,70,"low",1.29
"969",969,"Female",68,74,142,"high",2.55
"970",970,"Female",49,51,100,"high",2.68
"971",971,"Female",41,45,86,"high",2.96
"972",972,"Female",47,48,95,"low",2.45
"973",973,"Male",51,54,105,"high",2.7
"974",974,"Male",57,59,116,"low",2.24
"975",975,"Male",36,38,74,"low",2.04
"976",976,"Male",44,59,103,"high",2.38
"977",977,"Male",47,55,102,"low",1.79
"978",978,"Male",47,44,91,"low",2
"979",979,"Male",44,54,98,"low",2.24
"980",980,"Male",43,46,89,"low",1.63
"981",981,"Female",39,31,70,"low",1.13
"982",982,"Male",49,48,97,"low",1.73
"983",983,"Male",60,53,113,"low",1.36
"984",984,"Male",50,60,110,"low",2.81
"985",985,"Female",40,48,88,"low",1.17
"986",986,"Female",60,59,119,"high",2.48
"987",987,"Male",61,57,118,"low",1.98
"988",988,"Male",42,57,99,"low",1.72
"989",989,"Male",46,56,102,"high",2.69
"990",990,"Female",50,56,106,"high",2.98
"991",991,"Female",44,57,101,"high",3.4
"992",992,"Male",68,73,141,"high",3.48
"993",993,"Female",43,45,88,"low",2.15
"994",994,"Male",54,60,114,"low",2.4
"995",995,"Male",49,55,104,"low",2.42
"996",996,"Female",50,50,100,"high",2.19
"997",997,"Male",54,54,108,"high",1.5
"998",998,"Male",56,58,114,"high",3.17
"999",999,"Male",55,65,120,"low",1.94
"1000",1000,"Male",49,44,93,"low",2.38
